id,pca_features
412,"[0.194429341984,-0.185691243339,0.156938998081,0.0555813459279,0.0505711559295,0.118177026663,0.0482233101413,0.057829142051,0.0511323867529,0.348409994759,-0.170080347019,-0.0893293804209,-0.0374341563,-0.302528457191,-0.363144594122,-0.322810153184,-0.385452113658,-0.391208593707,0.364878251972,0.115909668489,0.363107600101,-0.409499167695,-0.17055401783,-0.372360375782,0.0822500990621,0.191952396509,0.335305796331,-0.053750811009,-0.372247537176,0.226104160505,-0.198250306439,-0.108379610712,0.027782906101,-0.279504454986,-0.317988272713,0.130947459347,0.258735731799,0.022751650416,-0.0185868317345,-0.24390316216,0.0773537206911,-0.024361360634,-0.0146708100941,-0.144292933878,0.0399475924707,0.118922309607,0.420071338599,0.0224029946982,0.52683200582,0.00348544027265]"
413,"[0.56668963474,1.92373760782,0.331561566312,-1.55010686032,1.20665335524,-0.178044165268,-2.25467827266,1.00615360829,-2.14890223121,0.761377964123,-0.167481189726,1.0097541198,-0.338720018257,-0.61749478406,-2.26740352127,0.361566089295,-1.68089573239,-0.877857525628,1.33070117172,0.560619368022,-0.0404965114999,-1.71264277717,-0.0687413053538,-1.00122558815,-1.25740614497,0.963224359364,0.489248086925,-0.577070538936,-0.148126879603,0.536009691224,0.315761977762,-0.367428053612,0.311518181597,-0.106703913737,-0.536948642613,0.391747215612,0.567170274187,-0.178061731532,-0.0727993694041,0.0304921931052,0.0265642860507,-0.268484824966,0.101414619792,-0.477931439897,0.271284808662,-0.176631386874,0.311346950837,0.36086322838,0.971952424889,0.253879797152]"
414,"[0.577616054678,1.94263296038,-0.0549248874661,-1.87991361545,-1.37260916572,0.561482426674,-3.08570140816,1.8944876395,-0.894441170202,1.27583412523,-0.519196821052,0.586695523145,-0.754846938896,-0.57678204836,-2.85521080721,0.00459860072177,-2.54151210164,-1.08654015577,1.29131505499,0.800650625146,0.356286316358,-1.80866905894,-0.332922473213,-1.72100720144,-0.58353515912,0.492366951201,0.407900432684,-0.00882746586802,-0.578027201873,0.447002235014,-0.586390321264,0.248442482437,0.700838872311,0.010306246311,0.245632758616,0.706218482001,0.305379690522,0.0309534338023,-0.00279160811636,0.216958014576,0.242919342597,-0.0119780101444,0.0498838131649,-0.557547282739,-0.615654429737,0.288626827143,0.553803321138,-0.202392743515,0.545906404299,0.510424549175]"
415,"[0.238802332169,-0.0653200669006,0.0477761873318,-0.495614388347,-0.729779493877,0.163693079776,-0.488321545624,0.737639902349,0.355633033719,0.460319799018,-0.0160840343898,-0.0680166820341,-0.464068350672,-0.192578715896,-0.382094319735,-0.257249645451,-0.590615923997,-0.497390823151,0.134503357684,-0.0491020914395,0.169743035901,-0.450576878746,0.0616266908709,-0.227328212083,0.650711568937,0.186465719201,0.275422230003,0.206391295955,0.148803357349,-0.521560765579,-0.254889309818,-0.00768511772002,0.461130584489,-0.147725904546,0.0672067917858,0.324437973905,-0.00538610100545,0.162558068231,-0.106826919977,-0.0677080795021,0.214003739158,-0.295771958115,0.186527814666,-0.39899469525,-0.320766566641,-0.179361053966,0.30795755026,-0.0631107166044,0.401566039225,-0.169118637557]"
416,"[-0.465787903538,0.710517226163,0.352992152699,-1.8030823093,-1.98924237163,-0.209251305296,-2.97752122797,1.48555996535,-1.06600618447,2.06682692386,-0.582850000322,-0.158281192409,-0.652054898849,-1.09025985042,-2.63660271177,0.620993360258,-2.13298378034,-0.168292713059,1.1033817847,1.36652797029,-0.612881859999,-1.11092800471,-0.0798632701512,-1.21829526629,-0.379466453973,0.283091860772,0.424726691403,0.222650653191,0.12116328917,-0.185981564158,-0.267671081163,-0.0478781960073,0.290083136282,-0.0144366867467,0.162825381866,0.545184211048,-0.131184177787,0.342823034776,-0.236553821153,-0.17817954868,0.136301354979,-0.0474030451507,0.18566216353,-0.359988266905,-0.535522377839,-0.349271476689,0.00227357431813,0.00910118721662,0.540960800624,-0.0430864635253]"
417,"[-1.43870351131,2.39124599677,-0.130192633369,-0.799181626908,-0.579224306176,-0.286293477234,1.81757143707,1.42343777277,-2.83467173335,2.4496677399,0.476595217121,0.602337145708,0.199788358947,-0.667097036289,-2.13457162025,2.85879859591,-2.02462677625,-0.0117089954819,0.400635245108,0.913193191975,-0.571074189868,-0.345213252832,-0.137361470177,-0.490917623923,-0.0217418157202,0.476602533009,-0.0421022934825,0.258612504412,-0.462049673969,-0.471112557616,0.0101083489375,0.662536381695,0.352378493905,0.992216672823,-0.500629318506,0.695101503954,0.419704483415,0.243114248308,-0.709256038165,0.349767425191,0.317575027439,0.223851572774,-0.317338422098,0.0452204565334,0.523985569128,0.0984598516695,-0.069788705831,-0.0922486046981,0.161351629768,-0.3376168459]"
418,"[-3.42000943002,0.43437242496,-2.27593855931,0.508154630351,-0.709590530795,-1.7178879066,-1.2817377461,1.43478563293,-2.05288370323,0.480099473524,0.631495309232,-0.282175826279,0.0573411735154,0.139818785282,-2.63692809788,1.75369511891,-1.47386574201,0.498178436625,0.3673524292,0.892333960247,0.586248157979,-1.23660247985,-0.0777041864306,-0.402674746531,-0.26750569566,0.0693932897471,0.970420267768,-0.815787480069,-1.31159358965,0.00761344123992,0.756268745864,0.515156849403,0.0662398566475,-0.288085391562,-0.163686772466,0.207466282388,-0.163325007606,0.357009110952,-0.144754609256,0.398360371175,1.51906439568,-0.679746010907,0.414746543384,-0.155717050071,0.132099232786,-0.50176139326,0.507930041127,-0.36595733805,-0.163160195875,-0.855782594612]"
419,"[-3.73867048535,0.56885464653,-1.67367598952,0.950540141589,-0.929625161946,-1.61380048349,-1.78901259678,1.34481542668,-2.43435542976,0.33033483677,-0.0518404500394,0.895187534524,0.283591674029,0.875470235928,-2.90848280769,1.4440661429,-1.07051006155,-0.373016724069,0.483436948806,1.02997733947,0.379366124362,-0.585515005985,0.0839500028286,-0.660513870365,-0.363131311687,0.205582657887,1.01731258236,-0.32001786085,-1.00156939432,-0.0717839020123,0.963211886772,0.32090470351,-0.199181310263,-0.402753079767,-0.147163187909,-0.00495886934429,-0.0183821670503,0.208168316512,-0.184964254373,0.686394766083,1.27540471484,-0.509968161143,0.475711060115,-0.154887287126,0.265366236545,-0.531341043746,0.633993394279,-0.270600754055,0.233092800415,-0.789550974113]"
420,"[0.105748413431,1.03261117336,0.343050290415,-2.23848911858,2.40918049206,-0.435650815616,-1.11814479868,1.73556491894,-2.49475894938,-0.0167524932929,0.665775612115,1.15448181165,0.223131464187,-0.586488424873,-1.59166582117,1.90083777301,-0.708147348067,0.36784873847,1.54289896129,0.23599487482,-0.214361763259,-0.954510346301,-0.335957304182,-1.13459937345,-0.39706763971,0.705836921613,0.921497823984,-0.15621370021,-0.253277050883,0.251514219174,-0.240023327249,-0.179610850135,-0.181591771888,0.46639876635,-0.152606450325,0.0979452461723,-0.495583860149,-0.0235732271663,0.0364873386476,0.0800154105109,-0.292652463585,0.12025856321,-0.139497214153,-0.326028557972,0.243521039769,0.0326775990704,-0.241699475363,-0.412643104254,-0.124067728831,0.0155742334741]"
421,"[0.00457727900261,1.01841567281,0.448737690683,-1.89176489803,2.03460801856,-0.242642195136,-1.44980595145,1.87491692875,-2.4805907583,0.112386595871,0.0853737402295,1.32979349776,0.298287973242,-0.34058072239,-2.13463957748,1.45736085907,-0.42371548108,-0.0116260892915,1.1200267097,0.312458678495,-0.495285954275,-0.947027584106,-0.405138166933,-1.21565954178,-0.812014315287,0.465305816973,0.811542650391,-0.148432732259,-0.282508792551,0.356312810385,0.227105841192,-0.303511577863,-0.244901210565,0.249740722757,-0.234907884603,0.0843437842705,-0.402941670887,-0.0819318142779,-0.181558650112,0.237742067725,-0.436615990134,0.093296159844,-0.132127252478,-0.353013381773,0.0700226819024,-0.03772213409,-0.102173190633,-0.157106795728,-0.067272788848,0.169125025098]"
422,"[-2.08313607911,0.487036650585,-2.70127025949,0.060556349883,0.286809995093,-0.237333772625,-1.64639355713,-0.2252482237,-1.52463774233,-0.0987189335132,0.569152711924,0.52721968418,-0.781592440938,-0.536824824244,-2.02079356523,1.55219600447,-1.6257274877,0.772795601196,1.12127506118,0.875622935789,-0.565798231869,-1.11782858549,0.0822446552986,-0.692074725561,-0.329261518387,-0.667752222541,-0.467010695914,-0.29086552508,-0.551808045756,0.0146728448675,-0.0521321356177,0.227268164183,-0.363361712561,-1.31739084639,-0.0489859829196,1.26429182943,0.0909820605327,-1.05913600634,-0.647913914952,-0.039849198103,0.0187800762662,-0.576362531495,-0.376639848152,-0.665953372603,-0.413804218633,-0.0729115248345,0.194879328628,0.849153914328,0.441298405945,0.0730804639057]"
423,"[-3.18411867514,0.090902739326,-1.80760731812,1.03254074772,0.744209111489,0.643912014519,-2.67731382066,0.505397202625,-1.92360044625,0.507137715181,0.598478871622,0.948553368606,-0.590421185401,-0.170364587612,-2.88802251848,0.942688052403,-2.01227124788,0.115959867597,0.394418635612,0.991337434456,-0.73370372601,-1.06419380681,-0.429146433895,-0.256674259628,-0.425519901432,-0.2895840701,-0.345582825094,-0.462117581152,-0.208894039098,-0.350043192232,0.155586661938,0.568864177024,-0.611628078227,-0.825475288154,0.149973254645,0.447092973719,0.340856724929,-0.88474607142,-0.296937225702,0.262211170431,-0.302359214593,-0.0686224273655,-0.15677356213,-0.729592066998,0.063691956459,-0.0473784325663,0.447233305048,0.272353550662,0.50478799905,0.0157611973711]"
424,"[-3.26533769125,2.91525055506,1.97859989483,-0.539833207609,-1.73942784306,-2.48213828058,-1.14100734097,1.10086153475,-3.1590133262,1.93436778226,0.20827153058,0.410907121302,-0.669763466695,-1.53741491294,-2.51892666065,1.5288220458,-1.21485166115,-0.445125744616,0.0351327229683,-0.573354463657,0.438056503177,-0.138226884263,0.292810047023,-1.15476683789,-1.05228253839,0.590775493514,-0.503853941407,-0.696104475429,-1.20759930634,0.369924779971,1.11699676646,0.418210905958,0.705585006301,-0.252129230876,-0.165255267795,0.104997079238,-0.719188015277,-0.469214080494,-0.391286493445,-0.392632042233,0.236846550879,-0.160758672948,-0.0912828976615,0.147423029447,-0.0318327035873,-0.449308208517,0.14203004127,0.36426959606,-0.481938815681,0.143468560457]"
425,"[-0.175264281334,3.64187093949,-0.192808696151,-0.475158233312,-1.52479989738,0.4272746978,-2.47401341573,-0.815326685792,-2.19921020007,0.794085747052,0.337339663699,0.959739381455,-1.29865107937,-1.11233180311,-2.43233517575,2.06147747985,-1.44804372844,1.61663573898,0.573202012443,0.0898973753369,0.316480296388,-1.51867098613,-0.774072010618,-0.770383344667,0.086297762091,-0.31550871414,-0.319130665556,1.00456941833,-0.823491088548,-0.647666574908,-0.344758106741,-1.014132665,1.2448214545,0.328689436564,-0.290378779932,0.779625527076,-0.0572160744404,0.0280472500051,-0.2696057136,-0.0248234962604,-0.561751760756,-0.614543854681,-0.403903990763,-0.252765574451,-1.35805929099,0.347878891559,0.901473934695,-0.597257828704,0.00866802993583,-0.46774654302]"
426,"[-0.10813937477,3.52976242936,0.0112692874211,-0.223219717709,-1.71054010107,0.598964622132,-2.76299470141,-0.0905480061109,-2.27098379486,1.05158268655,-0.0432912239092,1.24569590998,-1.27732285547,-1.0400152578,-2.91653722574,1.7158963778,-1.06723955224,1.06419776555,0.300749996359,0.160062383854,-0.081894198527,-1.32997948221,-0.668995611827,-0.815962596998,-0.206146580734,-0.3815231661,-0.279788172243,0.875138711005,-0.650121096066,-0.707824260438,-0.148230711892,-1.18831378166,1.27890528608,0.355551262366,-0.382657991102,0.507428378793,0.0643842999018,0.0739242087672,-0.322961233227,0.012382032988,-0.674952108229,-0.512020800332,-0.227234504221,-0.0137360151516,-1.35308154829,0.123333180768,0.904239702009,-0.480346455907,-0.0801958658662,-0.271212149371]"
427,"[-2.71071992717,3.09418344684,0.504659108891,-0.447382340911,-0.632933427487,-1.78712546116,0.87104193786,2.1283454578,-2.14554200792,1.0283373283,1.78647761193,0.790622042158,-0.687437714499,-1.43734794156,-2.1299329102,1.2608179817,-1.95551368953,0.345562562849,1.42413958722,-0.589705932254,0.103652858941,-0.743679223141,0.0630834617157,-0.380665077169,-0.529304733037,-0.017229264252,0.221241002668,-0.381374489921,-0.798620943681,-0.244310660464,1.94136019188,0.918038114552,-0.639335358294,0.817719330706,0.430941218048,-0.130478879612,-0.367204275612,0.20079690748,-1.07568965573,-0.850051519698,0.705037249989,-0.219038859248,0.378541084185,-0.469070251519,0.111512762147,-0.44218156005,-0.118306335484,0.339576036975,0.313708455926,0.502091223134]"
428,"[-3.29300880752,3.20678142139,0.732648701895,-0.110683021063,-0.613616547477,-1.58193763632,0.356155452923,2.63046093658,-2.44578361988,1.42058125434,0.754470677379,1.19483503163,-0.82058977288,-1.20143071225,-2.8654744271,0.615280901048,-1.27358315742,0.373016272537,0.82306700614,-0.39599107684,0.0570000394504,-0.676104038899,0.240065076865,-0.484809859456,-0.572802050189,-0.0958783392442,0.238173647916,-0.220145160373,-0.668729925368,-0.320405235069,2.08001168209,0.665218786949,-0.434600405769,0.558208560366,0.100914595501,-0.466779787731,-0.185025401046,0.0425920207375,-0.842363045148,-0.564999141836,0.331528421837,-0.141770294399,0.847720018495,-0.48580498013,-0.0912572188706,-0.436159490932,-0.0704411727055,0.571899972752,-0.047809410344,0.490046542529]"
429,"[0.028963758634,4.49616048721,0.315253685225,0.329175399903,-1.5493683117,0.118290687069,-2.47549165353,-0.677793608208,-3.30603196692,0.562936958068,0.216757398867,0.988738136429,-0.482586426449,-0.265901639862,-1.96915302328,1.52702581715,-0.565231403541,0.289116876761,0.0778963943544,0.802968480416,-0.994149017676,-1.17240296792,-1.02108850733,-0.715458954999,-0.40020110096,1.60972782634,1.03995995963,0.695213012502,-0.53754084876,0.280625800998,0.472251202289,-0.134130333817,0.0634346918126,-0.387237612755,-0.25824710031,-0.175057270654,-0.098337745879,-0.346638264655,-0.641845326591,0.216339620202,-0.233246360701,-0.0750062535848,0.155837326883,0.0108602687818,-0.0246869890459,-0.0681737318594,0.521295582531,0.0397093067797,0.38824855369,-0.200617720282]"
430,"[-0.487847432414,2.13737513886,0.62045557249,-0.685780832999,-3.85735224656,-0.102353085019,-3.46581042301,0.308634923309,-2.30194332609,0.23454528192,0.681894973782,1.80443979911,-0.461944124124,0.0398432836009,-1.88170368026,1.71563794469,0.130915867609,-0.450507855895,1.25490143247,0.662853291661,-0.502925581208,-0.907994573456,-0.684560055536,-0.637659077802,-0.0955570531418,-0.140889091027,0.748522290536,-0.765603870732,-0.108893188648,0.180168444011,-0.226075951021,-0.441761059204,0.0784889423104,0.239599014487,0.0639005562267,0.43517077838,0.506926317973,0.0285790860395,0.12987676829,-0.36969338072,-0.570019258973,-0.451269187864,-0.102953194591,-0.677675174006,-0.28777548518,-0.454594581573,-0.323783664719,0.103142713789,0.270099319916,-0.138470537538]"
431,"[-1.76358274714,2.36787686052,0.818413179291,-0.791726518298,-2.47944664048,-1.43510078861,-0.422417460743,0.261661163967,-4.27968192376,1.71200823841,1.97062234733,-0.560582909108,0.173579206271,-1.51315198271,-1.91247701731,0.99774054883,-0.992936778326,0.049158168319,0.503722752969,0.480970111501,-0.528268119498,-0.39523673985,-0.394675604341,-1.30091572881,-0.704357568379,0.538291042186,-0.100085494963,-0.594594934952,-1.36063159277,0.876358288247,-0.481178316014,0.646583796542,0.540405746325,-0.046282731131,0.17511012229,0.311487999779,-0.0662898225096,0.556998438215,-0.19844412384,0.819914904005,-0.215390626399,-0.705890935818,-1.00701956573,-0.0456810103711,0.583979288742,-0.096732485623,0.50011731471,0.33284838082,0.765727128083,-0.51507413621]"
432,"[-2.20871074144,2.4979550873,0.885359530096,-0.594476318236,-2.1156158282,-0.770873162998,-0.947847275279,0.599641323887,-4.37537293943,1.62932631613,1.41364606901,-0.177983138403,-0.219799093237,-1.29696482439,-2.36959537221,0.535485080077,-0.621715297667,-0.107818688403,0.207606107115,0.92629584789,-0.647938081491,0.0851475675568,-0.433764398409,-1.24462160991,-0.845689571947,0.853600933544,-0.287457239448,-0.386715140022,-1.089538026,0.86055452194,-0.659875925523,-0.340384662474,0.642578426369,-0.00780928090332,0.13424499341,0.386116978328,-0.12726387658,0.435050931316,-0.129546379971,0.488417556728,-0.359626693421,-0.592535346271,-0.616137869817,-0.518906862068,0.496711240049,-0.00576543930814,0.369036371996,0.333355316565,0.984171749749,-0.261604480151]"
433,"[0.288471487095,5.26817465616,-0.336801400751,0.454365040536,-0.228153425259,0.371022262183,-1.58246574435,0.809835687148,-2.19006034264,0.184732424312,1.34057728924,0.143648653551,1.18026342937,-0.474063656691,-1.73719745936,1.47101919336,-1.92481268241,0.65365909658,1.41996649486,1.00314075512,-0.408424734578,0.0303793515706,0.171586948319,0.274737945084,-0.452847774448,0.607901204857,0.578314562907,0.287287987117,-0.939975998848,0.0571021535787,0.415453486679,-0.372264808496,0.328524627567,-0.166444940281,-0.223707731917,0.147355778012,-0.120731763267,0.212264191269,0.0662710696968,-0.297192222019,-0.236748495818,-0.635410793931,-0.289451443629,0.455677708543,0.585374268458,0.543555580629,-0.296140416784,-0.685112052482,0.846078420276,-0.116370274285]"
434,"[-2.28403785625,0.928296892927,1.26541398639,-1.28719571721,-2.20824910056,-0.577674688544,-1.74035878486,-1.6893712933,-3.92975457793,0.383892667756,-0.125088338615,-0.38040561396,-0.169118386078,-0.350302475493,-1.8322216729,1.27737817147,-1.48703715458,0.849629948198,1.85220903998,1.00952166672,-0.273864243216,0.0349939667728,0.407647302081,-1.48485941154,-0.601958730733,-0.565141722979,0.715092058764,-1.27489608885,0.166728560023,0.0317526482313,-0.0714886820509,0.0624585224478,0.2228346691,-0.211089991712,-0.281534561857,0.669018720786,0.132522984301,0.33074390882,0.37075464521,0.498756793646,0.427585776355,-0.703226976341,0.97756761752,0.0739305833674,-0.43533230322,0.118723747466,-0.444363875876,0.0308100997938,-0.35203682291,-0.629129889041]"
435,"[-2.338511859,0.96737613439,1.44505842516,-0.89937341089,-1.86121803718,-0.452950109314,-2.00803124745,-0.987966765478,-3.80360200748,0.650389637266,-0.528105092051,-0.147833552889,-0.172918240629,-0.538693123415,-2.61218327681,0.648620227185,-1.26305694129,0.718745123098,0.971849791189,1.36514721365,-0.591526789925,0.372670545783,0.188811221847,-1.77231310744,-0.446487984497,-0.491197861258,0.952439921217,-1.29977078934,0.10006658471,0.256488215912,-0.0706742878531,0.0159403644193,0.294024822597,-0.174730416612,-0.476531862171,0.676978909526,0.259442212601,-0.143096067845,0.330374195547,0.801128498843,0.088984084849,-0.695585920717,0.890140430723,-0.0849886404065,-0.194164922922,-0.0385158509788,-0.26265676845,0.257689879493,-0.277237639413,-0.218770614612]"
436,"[-0.180915129633,3.49611109184,0.522204124514,1.15471429801,1.0793514194,2.36075738953,-2.59079180299,0.5095245726,-1.27507250557,0.358173903626,1.33177189376,-0.183464680911,0.905128988492,-0.42911859283,-2.07651422996,1.59371075268,-1.35282114456,0.59484826314,1.46633956467,0.337047210193,1.12833175653,-0.650857559055,-0.079186930095,-1.02492489616,-0.821883313459,0.200479394047,0.289501594535,-0.621989608126,0.161761540604,0.185994630969,0.293550326732,-0.171417122698,0.490381856362,0.287911463837,0.0484756328058,0.116292477457,0.248485461064,0.260743551027,0.559609390153,-0.689223138806,0.194041137988,0.442679526769,-1.24374038852,0.739279923946,0.37809010671,0.686991404023,0.100135406607,0.10732726179,0.566844479746,-0.490467685849]"
437,"[-0.706146845489,3.58306506974,0.88261758984,1.5526192355,1.25363716061,2.89882438723,-3.09322166136,0.947874123006,-1.53614828389,0.503290176616,1.00591056627,0.262419087867,0.879388390581,-0.24297623977,-2.73938483114,1.08319806004,-0.888538251223,0.331009455949,1.26991107635,0.867142490152,1.28450967986,-0.318563304334,-0.148874361856,-0.932455810971,-1.15757036345,-0.00410293653381,0.284645313254,-0.349544130186,0.0361057456985,0.168627490796,0.617279952203,-0.274375320181,0.818233078313,0.237261598866,0.0069398215177,0.384669069926,0.137336232959,0.219695299732,0.575680826243,-0.47355822261,0.426530204654,0.602048019796,-1.09758415418,0.602215163861,0.467628422304,0.484930019363,-0.0650709128943,0.270854065577,0.210586931614,-0.48866576268]"
438,"[-2.424834629,1.25839191756,0.522848077251,-0.920108193971,0.521865620034,1.07663003552,-1.32128043528,-0.591804999306,-1.03776990947,0.299543339781,2.32731109712,0.490676689151,0.366026868759,-1.12227703757,-2.06546326904,2.4306268667,-1.07290058824,-0.741669891504,1.46437745481,-0.275219242217,-0.925186068608,-0.667954446389,-0.908448709731,-1.1477310598,-0.940075981674,0.211453330113,-0.568348795104,-0.246560679154,-0.793919473341,0.626480203575,0.310793461951,0.286444990274,0.00240163285156,1.52593235534,-0.0123176058988,-0.101030565409,0.795431779149,0.114195829194,-0.105856561597,0.0688036007749,0.169324568733,-0.311900553134,0.98050097317,-0.870384720243,0.797702267356,-0.650659538697,0.148129581355,0.0474209890943,0.550787901793,0.519977997071]"
439,"[-0.456814153846,5.93300332168,0.132797918882,0.219197936636,-0.0253449502428,-0.465879389644,-1.62999652515,0.474933108295,-1.79733095317,0.64293297405,0.874502642485,0.190612715755,0.535937375739,-0.219992566704,-1.71862380704,1.68755190319,-2.31332186023,0.0891021607846,1.53388793196,0.161082782884,-0.826701419967,-0.692338731457,0.723738878694,-0.663189810338,-0.64642882588,0.31689191026,0.564908256602,-0.15057835053,-0.512321071743,0.13472685925,-0.495778831442,0.528574817624,0.143590159583,0.362832650921,-0.345116199758,-0.343941849813,-0.110880147021,-0.844458201387,-0.10832368287,-0.941943576749,0.699606527975,0.111178141413,-0.891235155637,-0.852311787937,0.322096549356,-0.827098764522,-0.0518829470263,-0.26771848553,0.765449534196,0.55544868015]"
440,"[-1.35818635869,3.81673204506,-0.254057878528,-0.268758500474,-0.024691975623,-0.375219681482,-0.0299747168909,2.006511944,-2.22969706923,-0.590461202456,1.54857385448,0.801609141788,-0.846453501634,-1.47980560432,-1.57003269662,0.682283526556,-1.25417793708,0.233788682731,2.77768709283,0.57238601673,-1.19373982236,-0.919444409638,-0.0223410502836,-0.313239979106,0.0187933336509,0.364195299068,0.676081568826,-1.12916806368,-0.103406614307,-0.597776006945,0.552614791634,0.0963163467003,0.564714673351,0.16863465287,0.153727965855,0.132852088815,-0.0355153994242,-0.849854287646,0.417772330045,0.135129411607,-0.110309678535,-0.123195159787,-0.698310591225,-0.269895538908,0.367066822505,-0.0822368128453,0.00104767790391,-0.304682378838,0.663177625581,0.451655495471]"
441,"[-0.552146216026,1.10533639535,-0.193277822507,-1.93665027117,-3.70540058337,-0.0950944396394,-1.93183461637,1.86671634215,-0.922376522268,0.210735497361,1.55629327503,1.66834664459,0.0431400976232,-0.631922198334,-1.37412659246,2.29268833237,-0.947911773163,0.548389083146,0.849654737081,1.07916463313,-0.632493912945,-0.330704302347,0.079746267158,-0.381620991854,-0.502376923481,0.819646142198,0.64174034647,-0.592428844508,-0.696716062283,0.386631744031,0.477416427571,-0.174164121729,0.367829139716,-0.323084487067,-0.207683943867,0.000633030741814,0.227231379526,0.137624551829,-0.246227140087,-0.0273852878188,-0.168374479615,0.0229362373521,-0.16742650808,-0.478612647083,0.30293254832,-0.0900850833116,0.287732120559,-0.230792171139,0.986190632164,-0.15283245307]"
442,"[-0.409648254013,3.17303379629,0.372773624502,0.113225276604,-1.59303412364,-0.357880332741,-3.12101058611,-1.76908784871,-2.83622759295,0.0231656767119,0.236695206461,1.07438165433,-0.634483257037,-0.196194221625,-2.24124805736,1.18346778933,-0.221476302368,-0.0425106416552,0.739531194224,0.788599165691,-0.365569965732,-1.76481975915,-1.2206184967,-0.841231305611,-0.539010568878,0.513890143659,0.0606822033892,0.396441929239,-0.502143923557,0.327006451358,0.419034440851,0.281133404729,-0.0971827971062,0.0668435750032,0.724237500882,0.180028031929,0.355349681539,-0.15475314901,-0.159132131002,-0.303811583088,-0.212204620964,0.261609002063,0.277386041054,0.0362988292752,0.242129845819,-0.302091267256,-0.484714161688,0.623763988309,0.681434975972,0.429142857583]"
443,"[-4.03324057972,-0.119133039617,0.960508717974,-0.482950050542,-0.792645142327,2.15995352251,-1.65947237877,1.34674081187,-3.02880610936,0.435837690077,0.285258561716,-0.746240594808,0.516276921981,-0.0975778198765,-0.489046076754,1.12682701786,-2.43068985034,1.36522287783,0.989915195436,0.217904808016,-0.373275771696,-1.05461152516,-0.889910941011,-1.41024424555,-0.922199573017,0.867050216204,0.76081629105,-1.28034398485,-0.724067027728,0.0263327195148,-0.111429685504,0.250692982982,-0.0274465820357,0.364357345514,0.469310757759,0.146969174907,-0.554114798964,-0.0901576225751,0.0948519672491,-0.719070051785,-0.671934755764,0.102795145195,0.0652439167299,0.00419767500276,-0.947799879829,0.437033280385,-0.207150403203,0.231703747378,0.161179769174,-0.0530597837964]"
444,"[-3.67474050376,-0.140009192777,1.17768034576,-0.178829747777,-0.783034090243,1.90012531733,-1.60486041666,1.4957163953,-2.89456128514,0.453962336399,0.246907944804,-0.591084073681,0.457912598448,-0.25397610047,-0.85701611032,1.13644270819,-2.38049319918,1.41595354925,0.656889368401,0.143306034183,-0.354335437958,-1.05484380821,-0.761930291883,-1.78277599248,-0.52553096149,0.808281928661,1.02048519164,-1.32886366223,-0.750800423497,-0.0311109461341,-0.19282240001,0.297667581147,0.0161175271517,0.179913922046,0.576569364847,-0.00151595912328,-0.327279232698,-0.130180104649,0.0575211934526,-0.57080620491,-0.724217427626,0.121920793889,0.137359160665,0.0531867112576,-0.659891712357,0.37614624253,-0.413238267611,0.147911748598,0.213692268099,0.309256738056]"
445,"[-4.45818867918,-0.211074582821,1.29448115687,0.191587865309,-0.735681659438,1.57605559405,-2.32211840066,2.04389537705,-3.31506301347,0.805368216746,-0.58771314399,-0.471151398095,0.552513125849,-0.0947062915892,-1.12656166934,0.69094247353,-2.29655620201,1.02727990895,0.653939397358,0.178250217381,-0.594851977622,-0.87603927042,-0.933614808728,-1.47258836999,-0.61803356463,0.434424915863,1.48720480536,-1.01184399839,-0.684596975876,-0.171385880919,0.0141486319301,-0.157074294829,-0.181538011391,0.377710578516,0.482645826906,0.0774623728382,-0.0678575445254,-0.126656283121,-0.304404462047,-0.65245514875,-0.64408309915,-0.0346477139006,-0.217730398344,0.268313460976,-0.250814811799,0.361890637776,-0.370220796697,-0.169953693604,0.0737621759427,0.632939779107]"
446,"[-4.70193939223,3.01586605369,0.0864190966739,-0.350427672199,-0.0275141689634,-0.0329485570422,-0.454285765901,0.841688233252,-2.06745111536,-0.079650101729,1.24237224447,2.05932680098,-1.82738016362,-1.99202044994,-1.86523164916,0.684889111639,-1.2163000658,0.716785988894,1.88496101498,0.524684902726,1.09358944124,-1.10298493871,0.654174016603,0.0398995090639,-1.47087075831,-0.312736593342,-0.0347770090841,-0.723889078269,-0.595682669858,0.208773371993,-0.879062044581,-0.45513257176,-0.263068537175,-0.391834337552,-0.131588333596,-0.0438710699615,-0.321459117835,-0.108137224713,0.337450722823,-1.01522267962,1.24281796372,-0.0155502654234,-0.584949400078,0.483324876577,0.374329737791,-0.27738617017,-0.484450972868,0.964321305916,0.0573364096582,-0.100601379666]"
447,"[-4.36614712319,1.42950176228,2.07497502585,-0.296464561041,-0.55243995977,-1.33170435348,-0.986573167314,1.16477038278,-0.725267743215,1.16256718421,0.74292054029,0.670399681505,0.912610274073,1.54123838414,-2.54917251638,0.99264969419,-1.96793159408,1.64287150259,1.74298331443,0.147246602228,0.811460575409,-0.803945758887,-0.263507021858,-1.24451263126,0.53391411586,0.668135112503,0.00600577572476,-0.771313047198,-0.227330320936,0.36201069725,1.39477910941,0.407412702655,0.795733282353,-0.692526852962,0.43551592035,-0.274192300625,0.622444362187,-0.180407766141,-0.524283586448,-0.155517461773,-0.287927904517,-0.164630061691,-0.326671205846,-0.32535290092,0.797226015081,-0.549232675324,-0.195818035698,-0.149903473317,-0.756603255415,-0.238668775747]"
